station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170115,32,33.08,,6.71082,360,21.027236,,0,0.83858313
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170121,42.08,59,,9.395148,360,38.02798,0,0,0.46063017
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170122,35.96,55.94,,11.855782,360,38.02798,,0,0.05118113
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170224,27.14,46.94,,11.632088,360,29.08022,0,0,0
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170301,27.14,55.94,,7.381902,360,23.935258,0,0,0
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170422,42.08,60.08,,12.974252,360,27.066974,0,0,0
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170429,33.08,44.06,,17.671826,360,42.949248,0,0,1.57086699
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170519,50,66.92,,14.54011,360,31.093466,0,0,0
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170527,57.92,84.02,,11.855782,360,44.067718,0,0,0
ODESSA SCHLEMEYER FLD,TX,31.9206,-102.3867,914.7,20170214,35.06,46.94,,12.974252,360,36.014734,,0,0.01181103
ODESSA SCHLEMEYER FLD,TX,31.9206,-102.3867,914.7,20170429,39.92,75.92,,16.553356,360,36.014734,,0,0.01181103
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170202,42.98,62.06,,10.289924,360,25.948504,0,0,0
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170312,48.92,64.04,,8.94776,360,46.97574,,0,0.03149608
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170401,57.92,86,,10.06623,360,38.922756,0,0,0.09055123
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170402,51.98,66.92,,13.869028,360,40.936002,0,0,0.31889781
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170422,55.94,75.02,,13.42164,360,36.90951,0,0,0
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170705,73.04,98.96,,10.513618,360,40.936002,0,0,0
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170802,71.06,89.06,,8.276678,360,31.093466,0,0,0.42913409
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170829,69.98,91.04,,8.724066,360,27.066974,0,0,0
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170903,69.98,91.94,,8.052984,360,27.066974,0,0,0
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,20170905,68,96.08,,7.158208,360,27.066974,0,0,0
ONTARIO INTL AP,CA,34.0561,-117.6003,289.3,20170130,41,75.92,,2.013246,360,12.079476,0,0,0
DESERT RESORTS RGNL AP,CA,33.6267,-116.1594,-36,20170115,44.06,71.06,,3.802798,360,10.961006,0,0,0
DESERT RESORTS RGNL AP,CA,33.6267,-116.1594,-36,20170130,42.98,78.08,,3.35541,360,12.079476,0,0,0
DESERT RESORTS RGNL AP,CA,33.6267,-116.1594,-36,20170329,48.92,93.02,,4.026492,360,17.000744,0,0,0
DESERT RESORTS RGNL AP,CA,33.6267,-116.1594,-36,20170904,77,100.04,,5.144962,360,17.000744,0,0,0
IMPERIAL CO AP,CA,32.8342,-115.5786,-17.7,20170108,42.98,69.08,,2.23694,360,10.06623,0,0,0
RIVERSIDE MUNI AP,CA,33.9519,-117.4386,245.4,20170127,46.04,59,,11.408394,360,36.90951,0,0,0
RIVERSIDE MUNI AP,CA,33.9519,-117.4386,245.4,20170302,39.92,78.08,,6.934514,360,23.040482,0,0,0
MARIANNA MUNI AP,FL,30.8356,-85.1839,34.4,20170213,48.02,75.92,,4.697574,360,18.119214,,,0
